"";"TALHAO_PAR";"b0";"b1";"Rsqr";"Std.Error"
"3663_119";"3663_119";3,39989356438903;-6,04559839403375;0,533033486155312;0,0370305380173301
"3663_120";"3663_120";3,34854142533038;-4,84626149251718;-0,0749971249596029;0,0881504282196368
"3664_101";"3664_101";3,13075035119587;-2,03053441632347;-0,0350367146701256;0,0283567430746116
"3664_102";"3664_102";3,72140733422936;-11,185834717812;0,894388395586841;0,0110422114924798
"3664_103";"3664_103";2,9475608346292;1,46103979560735;-0,095931066267229;0,0206763754821577
"3664_104";"3664_104";3,53853269966945;-8,06904237285651;0,598567203041057;0,0260875363010634
"3664_105";"3664_105";3,08094317180747;-0,654536099788425;-0,101239281253512;0,0148600151741813
"3664_106";"3664_106";3,39958787494566;-6,44554500844602;0,389403543537102;0,0199586990966843
"3664_107";"3664_107";3,25340881163004;-4,08536626475876;0,114840119799699;0,0337037159895878
"3664_108";"3664_108";3,26313406609887;-4,17261066276158;0,513686850643714;0,0252929614033457
"3664_109";"3664_109";3,20572521319366;-2,63083236455908;-0,0350132146734419;0,0250211311812526
"3664_110";"3664_110";3,5453878552503;-8,46390766473063;0,805213458843177;0,0193896145506273
"3664_111";"3664_111";3,57845909279033;-9,04270777611761;0,745173766067186;0,017177349332969
"3664_112";"3664_112";3,37393731738269;-5,58962355306643;0,5045267228586;0,0156956778949098
"3664_113";"3664_113";3,44397097935173;-6,98503147884027;0,304916492324283;0,0269860616903208
"3664_114";"3664_114";3,17403721115874;-1,90755698920877;-0,0561429559563484;0,0186275797922936
"3664_115";"3664_115";3,36758527378465;-5,12361234497278;0,139982805436847;0,0207726230163879
"3664_116";"3664_116";3,5348529599736;-8,41811016768207;0,888612018946361;0,00977926557290945
"3664_117";"3664_117";3,39989136225221;-6,30670106264089;0,594499897674737;0,0243996590384303
"3664_118";"3664_118";3,53527010525036;-8,31730357906517;0,756496118725619;0,0287598442527509
"3664_119";"3664_119";3,41253838048765;-6,25775186624881;0,0649240201919058;0,0353846817691794
"3664_120";"3664_120";3,25811153341446;-3,87718708968023;0,235825395840164;0,0252427559809079
"3664_121";"3664_121";3,20259905560337;-3,14461980491177;0,158146330818987;0,0378436059196058
"3664_122";"3664_122";3,28867200715549;-4,31774864001953;0,157061029752374;0,0345348170699609
"3664_123";"3664_123";2,96983894837438;0,679488202766074;-0,109750385042756;0,024217441816024
"3664_124";"3664_124";3,11691196492901;-1,57953058520337;-0,142458013741338;0,0378152276618009
"3665_201";"3665_201";3,06358764759632;0,0184834720927537;-0,142850936952125;0,042332897360549
"3665_202";"3665_202";3,2024415683588;-2,07792897538347;0,0828911804022245;0,0339511610871001
"3665_203";"3665_203";3,16136382720675;-1,93237817899062;0,332916762751558;0,0150582733909193
"3665_204";"3665_204";3,36815515392152;-4,77109800518604;0,294060627386922;0,0192738885155575
"3665_205";"3665_205";3,2931302000593;-3,58115775605798;0,385441167960878;0,0246283002585013
"3665_206";"3665_206";3,21608912244449;-2,79894938357609;0,140126500816908;0,0333945673966002
"3665_207";"3665_207";3,79537556382779;-11,3932023736661;0,753729355498604;0,0176351204667499
"3665_208";"3665_208";3,15897471161986;-1,49039968919666;-0,0636750918366387;0,0181108865475567
"3665_209";"3665_209";3,14174107134221;-1,39974566399127;-0,109392470591148;0,0290421796671705
"3665_210";"3665_210";3,24932664765609;-3,72421853445336;0,530219469936622;0,0139598419060666
"3665_211";"3665_211";3,34913662192343;-5,39949827252319;0,919097677870865;0,00883544481976279
"3665_212";"3665_212";3,35674152750476;-4,32687144051385;0,450303234291193;0,0191024450872673
"3665_213";"3665_213";3,39408297965308;-5,20578549406886;0,760999805349109;0,0123737761449688
"3665_214";"3665_214";3,23237390806083;-2,51389382466665;0,336533011715992;0,0144481915172757
"3665_215";"3665_215";3,56323608123764;-6,86355298650473;0,269612169595163;0,0220120328637594
"3665_216";"3665_216";3,28153386630827;-2,68501464585015;-0,0613745324879857;0,0303876495351216
"3666_101";"3666_101";3,10056941961013;3,05553766837269;-0,01220812410447;0,0463738587900997
