"","TALHAO","PARCELA","COD_ARVORE","CAP","HT","CATEGORIA","HD","b0","b1","b2","Rsqr","Std.Error"
"603",3656,110,302,57.4,0,"Bifurcadaacima1.30",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"604",3656,110,303,51.4,25.2,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"605",3656,110,305,62,27.3,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"606",3656,110,306,53.5,27.1,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"607",3656,110,307,51.3,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"608",3656,110,308,55.3,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"609",3656,110,401,44,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"610",3656,110,402,50.6,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"611",3656,110,501,62.8,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"612",3656,110,502,51.7,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"613",3656,110,503,49.7,0,"Normal",27.3,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"614",3656,111,101,47.7,0,"Bifurcadaacima1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"615",3656,111,102,48.3,21.1,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"616",3656,111,103,53.9,0,"Bifurcadaabaixo1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"617",3656,111,103,15,0,"Outros Fustes",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"618",3656,111,201,49,21.1,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"619",3656,111,202,49.3,0,"Bifurcadaacima1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"620",3656,111,203,44.2,0,"Bifurcadaabaixo1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"621",3656,111,203,30.8,0,"Outros Fustes",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"622",3656,111,204,41,20.6,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"623",3656,111,205,46.8,20.8,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"624",3656,111,301,45,21.2,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"625",3656,111,302,38.4,20.1,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"626",3656,111,303,50.2,22,"Dominante",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"627",3656,111,304,42.7,20.7,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"628",3656,111,305,44.2,0,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"629",3656,111,306,48.5,0,"Bifurcadaacima1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"630",3656,111,401,0,0,"Falha",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"631",3656,111,402,46.6,0,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"632",3656,111,403,45.3,0,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"633",3656,111,404,45.4,0,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"634",3656,111,405,41.7,0,"Bifurcadaabaixo1.30",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"635",3656,111,405,24.7,0,"Outros Fustes",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"636",3656,111,501,47.6,0,"Normal",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"637",3656,111,502,50,20.2,"Dominante",21.1,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"638",3656,112,101,55.1,0,"Bifurcadaacima1.30",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"639",3656,112,102,53.7,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"640",3656,112,103,53.7,0,"Bifurcadaabaixo1.30",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"641",3656,112,103,23,0,"Outros Fustes",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"642",3656,112,201,0,0,"Falha",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"643",3656,112,202,59,0,"Bifurcadaacima1.30",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"644",3656,112,203,52.9,23.4,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"645",3656,112,204,50.8,22.9,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"646",3656,112,205,52.7,22.8,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"647",3656,112,301,48.1,22.1,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"648",3656,112,302,49.1,22.2,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"649",3656,112,303,48.1,22,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"650",3656,112,304,51,22.2,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"651",3656,112,305,58.4,23.9,"Dominante",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"652",3656,112,401,55.7,0,"Bifurcadaacima1.30",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"653",3656,112,402,38.8,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"654",3656,112,403,52,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"655",3656,112,404,50.3,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"656",3656,112,405,51.1,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"657",3656,112,501,0,0,"Falha",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"658",3656,112,502,57.1,21.6,"Dominante",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"659",3656,112,503,47.9,0,"Normal",22.75,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"660",3656,113,101,50.2,22.6,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"661",3656,113,102,52.6,22,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"662",3656,113,103,52.5,22.7,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"663",3656,113,201,45.1,0,"Bifurcadaacima1.30",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"664",3656,113,202,52.3,23,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"665",3656,113,203,39.4,20.2,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"666",3656,113,204,45.2,21.4,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"667",3656,113,205,42.1,21.3,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"668",3656,113,206,49.7,22,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"669",3656,113,301,0,0,"Falha",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"670",3656,113,302,46.4,0,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"671",3656,113,303,52.8,0,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"672",3656,113,304,49.3,0,"Bifurcadaabaixo1.30",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"673",3656,113,304,20.1,0,"Outros Fustes",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"674",3656,113,305,48.9,0,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"675",3656,113,306,50.8,0,"Bifurcadaacima1.30",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"676",3656,113,401,28,17,"Outros",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"677",3656,113,402,54.8,22.7,"Dominante",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"678",3656,113,403,51.4,0,"Bifurcadaacima1.30",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"679",3656,113,404,49.8,0,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"680",3656,113,501,54.7,23,"Dominante",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"681",3656,113,502,44.8,0,"Normal",22.85,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"682",3656,114,101,43.7,20.6,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"683",3656,114,102,43.1,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"684",3656,114,103,26,0,"Dominada",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"685",3656,114,402,53.5,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"686",3656,114,201,51.1,22.4,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"687",3656,114,202,52.8,22.6,"Dominante",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"688",3656,114,203,50.6,23.5,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"689",3656,114,204,0,0,"Falha",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"690",3656,114,205,52,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"691",3656,114,301,50.8,21.8,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"692",3656,114,302,48.9,21.6,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"693",3656,114,303,52.5,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"694",3656,114,304,50.1,23.2,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"695",3656,114,305,41.4,21.2,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"696",3656,114,401,54.2,0,"Bifurcadaabaixo1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"697",3656,114,401,0,0,"CAP<9",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"698",3656,114,501,53.4,23.2,"Dominante",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"699",3656,114,403,51.4,0,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"700",3656,114,404,49.7,0,"Normal",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"701",3656,114,405,57.2,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"702",3656,114,502,45,0,"Bifurcadaacima1.30",22.9,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"703",3656,115,503,46.8,0,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"704",3656,115,101,51.6,0,"Bifurcadaacima1.30",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"705",3656,115,102,42.8,21.5,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"706",3656,115,103,44.1,0,"Bifurcadaacima1.30",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"707",3656,115,201,51.3,22.3,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"708",3656,115,202,47.4,21.7,"Normal",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
"709",3656,115,203,44.9,0,"Bifurcadaabaixo1.30",23.15,0.973474255014334,-4.43168795342974,0.765986722968775,0.819312539519135,0.0301883161844913
