"","TALHAO","PARCELA","COD_ARVORE","CAP","HT","CATEGORIA","HD","b0","b1","Rsqr","Std.Error"
"60",3654,103,402,0,0,"Falha",30.3,3.85139082547394,-8.43937046267902,0.360676661623126,0.0446068374539011
"61",3654,104,102,54.7,27.8,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"62",3654,104,103,49.3,26.8,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"63",3654,104,101,53.1,27.7,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"64",3654,104,304,57.4,29.1,"Dominante",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"65",3654,104,401,0,0,"Falha",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"66",3654,104,402,58.1,29.3,"Dominante",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"67",3654,104,403,56.8,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"68",3654,104,201,53.9,29,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"69",3654,104,202,52.1,30.2,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"70",3654,104,301,50.6,28.2,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"71",3654,104,302,49.8,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"72",3654,104,303,55.3,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"73",3654,104,404,54,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"74",3654,104,405,53.3,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"75",3654,104,501,50.2,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"76",3654,104,502,49.2,0,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"77",3654,104,203,51,28.6,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"78",3654,104,204,49.3,27.8,"Normal",29.2,3.65679644609645,-5.19536481980264,0.172643512473664,0.0314526791305925
"79",3654,105,204,56.2,29,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"80",3654,105,302,55.8,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"81",3654,105,401,0,0,"Falha",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"82",3654,105,205,50.2,28.3,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"83",3654,105,301,50.9,27.7,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"84",3654,105,404,58.8,29.8,"Dominante",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"85",3654,105,405,56.1,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"86",3654,105,501,0,0,"Falha",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"87",3654,105,502,0,0,"Falha",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"88",3654,105,305,54.7,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"89",3654,105,306,54.6,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"90",3654,105,303,52.1,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"91",3654,105,304,53.5,0,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"92",3654,105,403,61.2,30.1,"Dominante",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"93",3654,105,201,55.1,28.7,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"94",3654,105,101,37.7,0,"Dominada",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"95",3654,105,402,0,0,"Falha",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"96",3654,105,102,57,29.6,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"97",3654,105,103,53.3,27.7,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"98",3654,105,202,49.8,28.6,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"99",3654,105,203,56.1,29.7,"Normal",29.95,3.7203609756835,-6.1940406379931,0.63109686404071,0.0182430522642973
"100",3654,106,101,42,0,"Dominada",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"101",3654,106,102,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"102",3654,106,401,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"103",3654,106,402,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"104",3654,106,305,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"105",3654,106,306,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"106",3654,106,202,57.3,28.2,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"107",3654,106,203,58.8,29.4,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"108",3654,106,103,64.3,30,"Dominante",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"109",3654,106,201,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"110",3654,106,302,50.8,28.5,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"111",3654,106,303,51.9,27.7,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"112",3654,106,304,60,28.2,"Dominante",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"113",3654,106,403,57,0,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"114",3654,106,404,54.9,0,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"115",3654,106,405,52,0,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"116",3654,106,501,55.5,0,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"117",3654,106,502,43.1,0,"Dominada",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"118",3654,106,503,0,0,"Falha",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"119",3654,106,205,55.7,28.8,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"120",3654,106,301,50.5,29.7,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"121",3654,106,204,50.8,28.4,"Normal",29.1,3.46534406746614,-1.87001532180748,-0.00879955193176118,0.0268736723972794
"122",3654,107,202,49.6,26,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"123",3654,107,203,55.2,31,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"124",3654,107,205,58.5,30.2,"Dominante",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"125",3654,107,404,52.2,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"126",3654,107,405,50.6,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"127",3654,107,204,54.4,28.8,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"128",3654,107,502,57.4,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"129",3654,107,503,49.7,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"130",3654,107,301,49.5,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"131",3654,107,501,57.7,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"132",3654,107,303,48.8,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"133",3654,107,304,54.4,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"134",3654,107,305,49.4,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"135",3654,107,302,48.1,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"136",3654,107,402,45.6,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"137",3654,107,403,57.2,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"138",3654,107,103,50.4,27.1,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"139",3654,107,201,57.9,28.4,"Dominante",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"140",3654,107,401,52.7,0,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"141",3654,107,101,56,28.4,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"142",3654,107,102,50.6,26.5,"Normal",29.3,4.09954722190403,-13.0050299472304,0.589929761723527,0.0391900426336969
"143",3654,109,201,0,0,"Falha",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"144",3654,109,101,55.4,26.3,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"145",3654,109,102,54.2,27.7,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"146",3654,109,103,46.1,23.8,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"147",3654,109,205,55.1,28.7,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"148",3654,109,202,60.7,28.6,"Dominante",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"149",3654,109,203,56.5,28,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"150",3654,109,204,47.3,25.4,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"151",3654,109,304,60.7,29,"Dominante",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"152",3654,109,305,57.8,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"153",3654,109,306,51,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"154",3654,109,401,54.3,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"155",3654,109,402,44,0,"Dominada",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"156",3654,109,403,0,0,"Falha",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"157",3654,109,404,54.7,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"158",3654,109,405,45.1,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"159",3654,109,501,59.3,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"160",3654,109,502,0,0,"Falha",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"161",3654,109,301,53.9,28.5,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"162",3654,109,302,59.8,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"163",3654,109,303,58.6,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"164",3654,109,503,53.4,0,"Normal",28.8,3.91394228910944,-10.4464805817147,0.747098296341925,0.0339373249592172
"165",3654,110,103,56.7,31.2,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"166",3654,110,201,53.8,29.9,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"167",3654,110,202,54.5,31,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"168",3654,110,102,54.1,29.6,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"169",3654,110,204,50.7,29,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"170",3654,110,205,57.2,30.7,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"171",3654,110,301,50.6,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"172",3654,110,203,44.3,27.6,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"173",3654,110,303,51.2,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"174",3654,110,304,51.3,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"175",3654,110,305,49.5,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"176",3654,110,302,55.7,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"177",3654,110,401,56.2,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"178",3654,110,402,58.4,31,"Dominante",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"179",3654,110,403,45,0,"Dominada",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"180",3654,110,404,0,0,"Falha",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"181",3654,110,405,56,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"182",3654,110,501,57.4,30.6,"Dominante",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"183",3654,110,502,55.3,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"184",3654,110,503,53.8,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"185",3654,110,306,52.1,0,"Normal",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"186",3654,110,101,0,0,"Falha",30.8,3.81847107051377,-7.11586406122965,0.871018715066074,0.0144133575925929
"187",3654,111,103,52.8,27.7,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"188",3654,111,201,54.5,28.2,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"189",3654,111,101,41.2,0,"Dominada",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"190",3654,111,102,50.9,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"191",3654,111,204,50.4,26,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"192",3654,111,205,45,24.4,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"193",3654,111,301,45.4,24.5,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"194",3654,111,302,49.1,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"195",3654,111,303,43.3,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"196",3654,111,304,47.9,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"197",3654,111,305,45.9,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"198",3654,111,401,53.3,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"199",3654,111,402,39.7,0,"Morta",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"200",3654,111,403,45.7,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"201",3654,111,404,20.8,0,"Dominada",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"202",3654,111,202,49.6,26.3,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"203",3654,111,203,60,29.4,"Dominante",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"204",3654,111,503,42.5,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"205",3654,111,502,57,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"206",3654,111,405,45.4,0,"Normal",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"207",3654,111,501,21.6,0,"Dominada",29.4,3.97536490566971,-11.2045907178163,0.972232836307748,0.0117697590359931
"208",3654,112,201,51.2,29.6,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"209",3654,112,202,0,0,"Falha",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"210",3654,112,205,58.6,32.3,"Dominante",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"211",3654,112,301,55.2,30.9,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"212",3654,112,203,55.7,30.3,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"213",3654,112,204,55,30.5,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"214",3654,112,304,50.3,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"215",3654,112,305,54.1,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"216",3654,112,302,47.9,29.1,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"217",3654,112,303,49.5,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"218",3654,112,103,0,0,"Falha",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"219",3654,112,403,51.6,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"220",3654,112,404,45.2,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"221",3654,112,405,50.8,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"222",3654,112,501,51.4,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"223",3654,112,502,53.7,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"224",3654,112,503,55.9,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"225",3654,112,504,59.8,32.1,"Dominante",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"226",3654,112,401,48.6,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"227",3654,112,402,48.8,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"228",3654,112,102,55.6,29.7,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"229",3654,112,306,47.8,0,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"230",3654,112,101,46.3,28.3,"Normal",32.2,3.85422588474074,-7.56220538792695,0.801513672245089,0.0193454091286063
"231",3654,113,101,53.8,28.5,"Normal",29.65,3.80642112843027,-7.71573029047292,0.733282054902911,0.0227050216089914
"232",3654,113,102,46.8,0,"Bifurcadaabaixo1.30",29.65,3.80642112843027,-7.71573029047292,0.733282054902911,0.0227050216089914
